[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s114-ands-opt.gates ...
  literals=3710951  NOT=1561263  gates=4017244  total_classes=9289458  read=0.054s parse=0.059s build=0.189s
[pe] round= 24 work=        2 frontier=        6 next=        1 consolidate=  0.003ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 25 work=        1 frontier=        2 next=        0 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round=  0 work=  9164784 frontier=  5107471 next=    18446 consolidate= 48.587ms frontier= 10.361ms semisort= 19.419ms (keyed= 6.335ms group_by=  0.430ms per_group= 5.373ms)
[pe] round=  1 work=    18446 frontier=   155897 next=    19255 consolidate=  0.756ms frontier=  0.290ms semisort=  3.469ms (keyed= 0.066ms group_by=  2.663ms per_group= 0.340ms)
[pe] round=  2 work=    19255 frontier=   104921 next=    10683 consolidate=  0.728ms frontier=  0.277ms semisort=  3.062ms (keyed= 0.027ms group_by=  2.407ms per_group= 0.271ms)
[pe] round=  3 work=    10683 frontier=    66171 next=     6134 consolidate=  0.539ms frontier=  0.178ms semisort=  2.277ms (keyed= 0.039ms group_by=  1.569ms per_group= 0.385ms)
[pe] round=  4 work=     6134 frontier=    21473 next=     2777 consolidate=  1.409ms frontier=  0.216ms semisort=  0.841ms (keyed= 0.028ms group_by=  0.455ms per_group= 0.178ms)
[pe] round=  5 work=     2777 frontier=     9757 next=     1093 consolidate=  0.627ms frontier=  0.129ms semisort=  1.578ms (keyed= 0.020ms group_by=  1.296ms per_group= 0.133ms)
[pe] round=  6 work=     1093 frontier=     3878 next=      455 consolidate=  0.327ms frontier=  0.062ms semisort=  0.821ms (keyed= 0.020ms group_by=  0.577ms per_group= 0.101ms)
[pe] round=  7 work=      455 frontier=     1317 next=      243 consolidate=  0.150ms frontier=  0.034ms semisort=  0.281ms (keyed= 0.004ms group_by=  0.152ms per_group= 0.049ms)
[pe] round=  8 work=      243 frontier=      800 next=      157 consolidate=  0.081ms frontier=  0.015ms semisort=  0.208ms (keyed= 0.003ms group_by=  0.086ms per_group= 0.055ms)
[pe] round=  9 work=      157 frontier=      572 next=      125 consolidate=  0.111ms frontier=  0.010ms semisort=  0.155ms (keyed= 0.002ms group_by=  0.059ms per_group= 0.037ms)
[pe] round= 10 work=      125 frontier=      436 next=      118 consolidate=  0.051ms frontier=  0.009ms semisort=  0.124ms (keyed= 0.002ms group_by=  0.037ms per_group= 0.044ms)
[pe] round= 11 work=      118 frontier=      392 next=       91 consolidate=  0.062ms frontier=  0.008ms semisort=  0.128ms (keyed= 0.002ms group_by=  0.029ms per_group= 0.051ms)
[pe] round= 12 work=       91 frontier=      344 next=       65 consolidate=  0.075ms frontier=  0.007ms semisort=  0.113ms (keyed= 0.002ms group_by=  0.030ms per_group= 0.039ms)
[pe] round= 13 work=       65 frontier=      375 next=       49 consolidate=  0.046ms frontier=  0.006ms semisort=  0.104ms (keyed= 0.001ms group_by=  0.032ms per_group= 0.030ms)
[pe] round= 14 work=       49 frontier=      157 next=       26 consolidate=  0.042ms frontier=  0.004ms semisort=  0.058ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.018ms)
